x,y
266,1466
266,6743
267,3021
267,5188
270,3753
270,4456
272,3007
272,5202
274,2064
274,6145
278,245
278,7964
283,3939
283,4270
285,2333
285,5876
288,3860
288,4349
289,787
289,7422
290,273
290,7936
291,2195
291,6014
292,1365
292,6844
293,2631
293,5578
294,1876
294,6333
295,3611
295,4598
296,52
296,8157
299,2220
299,5989
300,865
300,7344
305,668
305,7541
306,1089
306,7120
307,2872
307,5337
308,2576
308,5633
310,3062
310,5147
311,3758
311,4451
314,2379
314,5830
318,597
318,7612
319,3251
319,4958
320,2591
320,5618
321,1691
321,6518
324,3958
324,4251
326,467
326,7742
329,685
329,7524
330,3221
330,4988
331,1510
331,6699
334,1590
334,6619
336,2468
336,5741
337,704
337,7505
338,3239
338,4970
340,339
340,7870
341,1311
341,6898
344,2577
344,5632
345,2576
345,5633
350,10
350,8199
354,2691
354,5518
355,1956
355,6253
356,1014
356,7195
357,1346
357,6863
360,1296
360,6913
362,178
362,8031
366,584
366,7625
367,2546
367,5663
368,906
368,7303
369,970
369,7239
370,2166
370,6043
371,196
371,8013
372,2950
372,5259
376,2533
376,5676
379,3414
379,4795
381,3932
381,4277
383,702
383,7507
386,1846
386,6363
388,2597
388,5612
395,1558
395,6651
397,377
397,7832
398,223
398,7986
399,3179
399,5030
400,429
400,7780
403,3098
403,5111
404,2605
404,5604
411,1479
411,6730
412,2160
412,6049
416,179
416,8030
417,2877
417,5332
418,1353
418,6856
419,3431
419,4778
421,3390
421,4819
422,3560
422,4649
427,3657
427,4552
428,512
428,7697
430,2693
430,5516
433,1280
433,6929
434,655
434,7554
436,3275
436,4934
437,3487
437,4722
442,1693
442,6516
443,571
443,7638
444,848
444,7361
450,3163
450,5046
454,1509
454,6700
458,2139
458,6070
463,3945
463,4264
465,4043
465,4166
467,4006
467,4203
468,1721
468,6488
469,2506
469,5703
470,3342
470,4867
474,1649
474,6560
475,2410
475,5799
476,2227
476,5982
481,3672
481,4537
490,689
490,7520
492,1076
492,7133
493,2675
493,5534
494,670
494,7539
498,1790
498,6419
499,1332
499,6877
503,1651
503,6558
504,578
504,7631
506,3350
506,4859
509,1940
509,6269
512,629
512,7580
514,3983
514,4226
516,3988
516,4221
519,2448
519,5761
522,1344
522,6865
523,152
523,8057
524,1516
524,6693
528,2860
528,5349
529,681
529,7528
531,849
531,7360
532,19
532,8190
533,2320
533,5889
534,1388
534,6821
537,3843
537,4366
540,7
540,8202
555,1946
555,6263
557,582
557,7627
558,3235
558,4974
559,2892
559,5317
560,1018
560,7191
563,1415
563,6794
565,2162
565,6047
569,1390
569,6819
571,1328
571,6881
572,162
572,8047
573,2994
573,5215
574,1114
574,7095
577,3371
577,4838
578,1256
578,6953
579,212
579,7997
580,2787
580,5422
583,2618
583,5591
584,2207
584,6002
585,1069
585,7140
586,3251
586,4958
587,1916
587,6293
590,3171
590,5038
592,2470
592,5739
594,455
594,7754
599,3724
599,4485
603,2141
603,6068
606,4002
606,4207
610,3200
610,5009
613,2921
613,5288
614,2607
614,5602
615,2385
615,5824
616,1708
616,6501
617,3856
617,4353
619,211
619,7998
620,3172
620,5037
621,727
621,7482
622,3928
622,4281
623,3282
623,4927
626,2820
626,5389
627,545
627,7664
628,26
628,8183
629,2047
629,6162
630,3535
630,4674
632,1541
632,6668
633,3723
633,4486
635,2911
635,5298
636,3438
636,4771
638,2379
638,5830
640,3944
640,4265
641,4082
641,4127
646,2573
646,5636
647,3772
647,4437
649,537
649,7672
651,1796
651,6413
653,1211
653,6998
654,1218
654,6991
657,3510
657,4699
658,4086
658,4123
660,3995
660,4214
662,4023
662,4186
663,3324
663,4885
664,1056
664,7153
665,3008
665,5201
666,742
666,7467
674,1795
674,6414
679,3600
679,4609
681,2575
681,5634
686,409
686,7800
688,105
688,8104
689,1589
689,6620
692,377
692,7832
695,2126
695,6083
699,3289
699,4920
703,2150
703,6059
704,2501
704,5708
706,3588
706,4621
708,380
708,7829
709,3153
709,5056
710,425
710,7784
711,1622
711,6587
713,946
713,7263
714,1341
714,6868
715,2761
715,5448
717,2177
717,6032
718,1405
718,6804
720,912
720,7297
721,182
721,8027
722,715
722,7494
723,3800
723,4409
724,53
724,8156
725,3292
725,4917
728,3426
728,4783
729,3689
729,4520
730,2971
730,5238
731,48
731,8161
733,2540
733,5669
734,3440
734,4769
735,1735
735,6474
737,3190
737,5019
742,3880
742,4329
744,662
744,7547
748,470
748,7739
757,2699
757,5510
758,972
758,7237
759,2384
759,5825
760,1538
760,6671
763,2431
763,5778
767,2880
767,5329
768,3409
768,4800
769,2883
769,5326
770,3059
770,5150
771,1098
771,7111
772,662
772,7547
773,1986
773,6223
774,3761
774,4448
776,1511
776,6698
777,2360
777,5849
778,399
778,7810
779,2788
779,5421
780,1745
780,6464
783,2224
783,5985
787,3564
787,4645
788,3775
788,4434
789,506
789,7703
790,2119
790,6090
792,2298
792,5911
795,1978
795,6231
796,3067
796,5142
799,225
799,7984
800,3848
800,4361
804,2404
804,5805
809,3768
809,4441
810,2026
810,6183
811,972
811,7237
812,2602
812,5607
813,9
813,8200
816,1753
816,6456
817,1870
817,6339
818,100
818,8109
819,2236
819,5973
823,3587
823,4622
824,3565
824,4644
825,1645
825,6564
826,3866
826,4343
827,912
827,7297
828,3213
828,4996
829,2860
829,5349
830,784
830,7425
833,299
833,7910
834,2899
834,5310
836,1720
836,6489
837,3318
837,4891
839,2614
839,5595
842,487
842,7722
843,3572
843,4637
844,515
844,7694
848,458
848,7751
849,688
849,7521
854,1938
854,6271
855,2967
855,5242
856,579
856,7630
857,2163
857,6046
858,1358
858,6851
860,1371
860,6838
861,1321
861,6888
867,3053
867,5156
869,2601
869,5608
872,3362
872,4847
875,2956
875,5253
876,3018
876,5191
877,2904
877,5305
879,1337
879,6872
881,1761
881,6448
882,2174
882,6035
883,3081
883,5128
885,2147
885,6062
887,2106
887,6103
889,1364
889,6845
891,2459
891,5750
894,1113
894,7096
895,1360
895,6849
896,409
896,7800
903,2620
903,5589
904,833
904,7376
905,1011
905,7198
910,1345
910,6864
911,2330
911,5879
914,2939
914,5270
923,1310
923,6899
924,2429
924,5780
926,3727
926,4482
928,3826
928,4383
929,187
929,8022
930,1353
930,6856
931,2696
931,5513
934,1163
934,7046
937,4040
937,4169
938,926
938,7283
939,465
939,7744
941,1065
941,7144
947,3996
947,4213
948,2135
948,6074
950,2664
950,5545
951,2655
951,5554
953,588
953,7621
954,1897
954,6312
955,686
955,7523
956,2034
956,6175
958,2673
958,5536
960,2149
960,6060
962,194
962,8015
965,2967
965,5242
968,1224
968,6985
969,1998
969,6211
971,1013
971,7196
975,271
975,7938
977,1481
977,6728
978,3399
978,4810
979,3704
979,4505
980,2431
980,5778
981,1038
981,7171
983,1837
983,6372
984,999
984,7210
985,542
985,7667
989,1945
989,6264
991,397
991,7812
994,1114
994,7095
996,1709
996,6500
998,2495
998,5714
999,1625
999,6584
1001,2661
1001,5548
1004,1066
1004,7143
1005,3102
1005,5107
1006,1655
1006,6554
1008,4078
1008,4131
1009,1811
1009,6398
1011,3915
1011,4294
1012,92
1012,8117
1018,1475
1018,6734
1019,1717
1019,6492
1021,68
1021,8141
1022,2727
1022,5482
1024,932
1024,7277
1025,847
1025,7362
1026,1488
1026,6721
1027,1574
1027,6635
1028,2507
1028,5702
1030,1706
1030,6503
1033,3234
1033,4975
1034,2505
1034,5704
1035,1327
1035,6882
1037,1356
1037,6853
1039,231
1039,7978
1040,3854
1040,4355
1041,2654
1041,5555
1042,2850
1042,5359
1043,116
1043,8093
1046,3902
1046,4307
1048,3293
1048,4916
1050,3638
1050,4571
1054,2148
1054,6061
1055,1144
1055,7065
1057,3134
1057,5075
1060,3032
1060,5177
1061,2632
1061,5577
1062,1101
1062,7108
1064,2085
1064,6124
1065,510
1065,7699
1067,3656
1067,4553
1068,2288
1068,5921
1070,1195
1070,7014
1072,1517
1072,6692
1073,2879
1073,5330
1076,2266
1076,5943
1080,3448
1080,4761
1081,1242
1081,6967
1083,1457
1083,6752
1087,2033
1087,6176
1089,1067
1089,7142
1091,1519
1091,6690
1101,2677
1101,5532
1103,2454
1103,5755
1105,2049
1105,6160
1107,1829
1107,6380
1108,1177
1108,7032
1110,2172
1110,6037
1111,3958
1111,4251
1116,3668
1116,4541
1118,179
1118,8030
1119,1688
1119,6521
1122,1440
1122,6769
1123,3197
1123,5012
1124,3365
1124,4844
1125,1183
1125,7026
1127,697
1127,7512
1128,3226
1128,4983
1129,2648
1129,5561
1130,306
1130,7903
1133,521
1133,7688
1136,1554
1136,6655
1137,2450
1137,5759
1139,3848
1139,4361
1140,3371
1140,4838
1141,3347
1141,4862
1142,3432
1142,4777
1145,3147
1145,5062
1147,2307
1147,5902
1149,1296
1149,6913
1151,2744
1151,5465
1154,2360
1154,5849
1155,525
1155,7684
1158,3718
1158,4491
1160,1138
1160,7071
1161,864
1161,7345
1164,598
1164,7611
1166,3886
1166,4323
1169,156
1169,8053
1172,3967
1172,4242
1174,235
1174,7974
1176,789
1176,7420
1178,3296
1178,4913
1179,2046
1179,6163
1182,849
1182,7360
1183,1109
1183,7100
1189,352
1189,7857
1190,2335
1190,5874
1191,489
1191,7720
1192,1472
1192,6737
1195,1134
1195,7075
1197,1903
1197,6306
1200,800
1200,7409
1202,3874
1202,4335
1204,2816
1204,5393
1205,2787
1205,5422
1211,3668
1211,4541
1212,277
1212,7932
1215,284
1215,7925
1220,990
1220,7219
1223,2729
1223,5480
1226,2651
1226,5558
1234,2587
1234,5622
1235,530
1235,7679
1237,2272
1237,5937
1239,769
1239,7440
1240,2931
1240,5278
1243,738
1243,7471
1244,2045
1244,6164
1246,2702
1246,5507
1247,2098
1247,6111
1248,4066
1248,4143
1250,3842
1250,4367
1252,1262
1252,6947
1253,366
1253,7843
1255,3010
1255,5199
1256,1028
1256,7181
1257,1865
1257,6344
1260,968
1260,7241
1261,81
1261,8128
1262,1797
1262,6412
1263,1300
1263,6909
1264,3572
1264,4637
1265,2128
1265,6081
1266,2748
1266,5461
1267,1778
1267,6431
1268,135
1268,8074
1270,1034
1270,7175
1274,744
1274,7465
1275,93
1275,8116
1277,942
1277,7267
1278,813
1278,7396
1280,679
1280,7530
1284,2239
1284,5970
1285,2896
1285,5313
1286,3342
1286,4867
1287,637
1287,7572
1288,1698
1288,6511
1291,589
1291,7620
1293,3429
1293,4780
1297,2807
1297,5402
1299,3784
1299,4425
1300,2880
1300,5329
1303,1811
1303,6398
1304,3955
1304,4254
1305,1345
1305,6864
1308,4086
1308,4123
1309,3602
1309,4607
1311,2969
1311,5240
1316,1425
1316,6784
1318,3389
1318,4820
1321,2234
1321,5975
1322,289
1322,7920
1324,1015
1324,7194
1325,3084
1325,5125
1326,1558
1326,6651
1327,1016
1327,7193
1328,1449
1328,6760
1332,3213
1332,4996
1333,2346
1333,5863
1335,2891
1335,5318
1337,3883
1337,4326
1338,1031
1338,7178
1339,4042
1339,4167
1340,1212
1340,6997
1341,2093
1341,6116
1342,2192
1342,6017
1344,250
1344,7959
1345,2726
1345,5483
1348,2453
1348,5756
1349,1051
1349,7158
1350,288
1350,7921
1351,1485
1351,6724
1353,2095
1353,6114
1355,1934
1355,6275
1356,3086
1356,5123
1357,114
1357,8095
1358,3717
1358,4492
1363,3994
1363,4215
1365,1489
1365,6720
1368,674
1368,7535
1370,3666
1370,4543
1372,2121
1372,6088
1373,2907
1373,5302
1375,1998
1375,6211
1376,762
1376,7447
1378,2814
1378,5395
1379,159
1379,8050
1381,1219
1381,6990
1382,379
1382,7830
1383,2463
1383,5746
1385,3367
1385,4842
1386,1858
1386,6351
1388,1264
1388,6945
1392,2954
1392,5255
1394,1624
1394,6585
1395,3509
1395,4700
1397,3034
1397,5175
1398,1398
1398,6811
1399,2390
1399,5819
1401,1679
1401,6530
1402,2240
1402,5969
1405,3921
1405,4288
1409,863
1409,7346
1412,2046
1412,6163
1413,2929
1413,5280
1416,4017
1416,4192
1419,3142
1419,5067
1420,1359
1420,6850
1421,3957
1421,4252
1422,572
1422,7637
1426,3016
1426,5193
1427,3731
1427,4478
1428,109
1428,8100
1431,4080
1431,4129
1434,1173
1434,7036
1437,1782
1437,6427
1438,2146
1438,6063
1439,3023
1439,5186
1440,2528
1440,5681
1442,1323
1442,6886
1443,1630
1443,6579
1446,3187
1446,5022
1447,1987
1447,6222
1448,296
1448,7913
1449,2636
1449,5573
1450,2714
1450,5495
1451,3630
1451,4579
1452,3170
1452,5039
1453,1285
1453,6924
1455,3276
1455,4933
1458,1826
1458,6383
1460,3153
1460,5056
1462,3914
1462,4295
1464,2502
1464,5707
1466,354
1466,7855
1469,2330
1469,5879
1473,4028
1473,4181
1477,2969
1477,5240
1478,3265
1478,4944
1479,650
1479,7559
1480,2300
1480,5909
1483,2395
1483,5814
1486,3221
1486,4988
1489,3680
1489,4529
1493,1144
1493,7065
1494,2087
1494,6122
1496,2335
1496,5874
1497,1173
1497,7036
1504,465
1504,7744
1505,1003
1505,7206
1507,2756
1507,5453
1508,1334
1508,6875
1509,2774
1509,5435
1510,3372
1510,4837
1513,2491
1513,5718
1515,1010
1515,7199
1516,2295
1516,5914
1518,4019
1518,4190
1521,601
1521,7608
1522,2404
1522,5805
1523,1099
1523,7110
1530,2901
1530,5308
1532,378
1532,7831
1535,651
1535,7558
1536,715
1536,7494
1538,3879
1538,4330
1540,2651
1540,5558
1541,1992
1541,6217
1542,2105
1542,6104
1544,1821
1544,6388
1545,1309
1545,6900
1547,2538
1547,5671
1548,2193
1548,6016
1549,989
1549,7220
1550,1055
1550,7154
1551,1538
1551,6671
1553,2846
1553,5363
1554,1630
1554,6579
1558,3708
1558,4501
1560,1158
1560,7051
1561,4038
1561,4171
1562,2220
1562,5989
1563,440
1563,7769
1566,942
1566,7267
1567,2736
1567,5473
1568,620
1568,7589
1569,394
1569,7815
1572,3378
1572,4831
1574,3953
1574,4256
1576,1650
1576,6559
1578,1445
1578,6764
1580,927
1580,7282
1583,689
1583,7520
1586,539
1586,7670
1587,1931
1587,6278
1590,1261
1590,6948
1592,3633
1592,4576
1593,2710
1593,5499
1594,2449
1594,5760
1595,4102
1595,4107
1597,2079
1597,6130
1598,1467
1598,6742
1600,3919
1600,4290
1601,3686
1601,4523
1602,1100
1602,7109
1605,1774
1605,6435
1606,3242
1606,4967
1608,3920
1608,4289
1609,3261
1609,4948
1610,2582
1610,5627
1611,3211
1611,4998
1612,223
1612,7986
1613,3736
1613,4473
1617,3649
1617,4560
1618,3243
1618,4966
1619,1270
1619,6939
1620,2577
1620,5632
1621,117
1621,8092
1623,2469
1623,5740
1624,349
1624,7860
1626,1805
1626,6404
1627,2434
1627,5775
1630,2828
1630,5381
1636,3768
1636,4441
1637,2953
1637,5256
1638,3302
1638,4907
1640,2966
1640,5243
1641,3292
1641,4917
1642,2736
1642,5473
1643,1997
1643,6212
1646,2899
1646,5310
1648,1871
1648,6338
1651,1089
1651,7120
1653,417
1653,7792
1654,1210
1654,6999
1655,1915
1655,6294
1656,209
1656,8000
1658,3827
1658,4382
1659,1158
1659,7051
1663,704
1663,7505
1664,74
1664,8135
1666,3708
1666,4501
1667,3900
1667,4309
1668,1444
1668,6765
1670,1021
1670,7188
1671,735
1671,7474
1673,2822
1673,5387
1674,2866
1674,5343
1675,2337
1675,5872
1676,1439
1676,6770
1677,1813
1677,6396
1679,3628
1679,4581
1680,3596
1680,4613
1682,3711
1682,4498
1685,270
1685,7939
1686,4051
1686,4158
1691,1800
1691,6409
1695,2866
1695,5343
1698,3896
1698,4313
1702,3315
1702,4894
1703,180
1703,8029
1706,530
1706,7679
1707,1479
1707,6730
1712,2636
1712,5573
1717,824
1717,7385
1719,128
1719,8081
1720,1283
1720,6926
1721,2642
1721,5567
1723,1650
1723,6559
1727,3173
1727,5036
1733,3658
1733,4551
1734,365
1734,7844
1735,1312
1735,6897
1736,483
1736,7726
1738,1349
1738,6860
1740,4002
1740,4207
1741,302
1741,7907
1742,1599
1742,6610
1745,316
1745,7893
1749,717
1749,7492
1750,1175
1750,7034
1751,3475
1751,4734
1752,34
1752,8175
1754,2305
1754,5904
1757,840
1757,7369
1759,2686
1759,5523
1760,3647
1760,4562
1761,730
1761,7479
1762,124
1762,8085
1763,3501
1763,4708
1765,3955
1765,4254
1766,625
1766,7584
1767,736
1767,7473
1768,4017
1768,4192
1771,555
1771,7654
1774,3677
1774,4532
1775,2849
1775,5360
1780,1983
1780,6226
1782,2670
1782,5539
1785,3524
1785,4685
1787,2102
1787,6107
1789,1540
1789,6669
1790,2260
1790,5949
1795,2513
1795,5696
1796,1961
1796,6248
1798,1620
1798,6589
1801,2496
1801,5713
1804,3878
1804,4331
1805,2954
1805,5255
1806,1372
1806,6837
1807,2757
1807,5452
1810,4092
1810,4117
1814,3266
1814,4943
1815,1166
1815,7043
1820,309
1820,7900
1822,2560
1822,5649
1823,2470
1823,5739
1825,86
1825,8123
1826,4099
1826,4110
1827,1613
1827,6596
1829,2796
1829,5413
1830,2992
1830,5217
1834,1349
1834,6860
1836,4083
1836,4126
1837,3770
1837,4439
1838,3187
1838,5022
1839,232
1839,7977
1840,3243
1840,4966
1841,3727
1841,4482
1844,3574
1844,4635
1846,3967
1846,4242
1847,3939
1847,4270
1849,1103
1849,7106
1853,2525
1853,5684
1856,2925
1856,5284
1857,2930
1857,5279
1859,573
1859,7636
1860,2128
1860,6081
1861,1878
1861,6331
1862,573
1862,7636
1864,958
1864,7251
1865,3394
1865,4815
1867,2741
1867,5468
1868,3976
1868,4233
1869,3834
1869,4375
1872,3465
1872,4744
1873,3390
1873,4819
1875,324
1875,7885
1877,160
1877,8049
1878,3783
1878,4426
1879,1556
1879,6653
1880,2865
1880,5344
1881,2682
1881,5527
1884,1093
1884,7116
1885,1133
1885,7076
1886,1457
1886,6752
1888,3785
1888,4424
1889,663
1889,7546
1891,1604
1891,6605
1892,3641
1892,4568
1894,2125
1894,6084
1896,1545
1896,6664
1898,14
1898,8195
1899,770
1899,7439
1901,557
1901,7652
1903,1505
1903,6704
1907,3087
1907,5122
1908,401
1908,7808
1909,1238
1909,6971
1910,3008
1910,5201
1911,160
1911,8049
1912,3306
1912,4903
1913,879
1913,7330
1914,2305
1914,5904
1915,3634
1915,4575
1921,3799
1921,4410
1924,3557
1924,4652
1925,3470
1925,4739
1926,3397
1926,4812
1928,2522
1928,5687
1930,2853
1930,5356
1931,1893
1931,6316
1933,1488
1933,6721
1934,2926
1934,5283
1936,3547
1936,4662
1938,3009
1938,5200
1939,3046
1939,5163
1940,3009
1940,5200
1944,3149
1944,5060
1946,0
1947,3347
1947,4862
1949,791
1949,7418
1951,3134
1951,5075
1954,1489
1954,6720
1955,4048
1955,4161
1956,3068
1956,5141
1958,3698
1958,4511
1960,3075
1960,5134
1961,2398
1961,5811
1963,273
1963,7936
1964,3544
1964,4665
1965,2141
1965,6068
1966,1282
1966,6927
1969,1853
1969,6356
1971,2785
1971,5424
1972,3684
1972,4525
1973,2356
1973,5853
1974,3869
1974,4340
1975,1686
1975,6523
1983,279
1983,7930
1984,3856
1984,4353
1985,3887
1985,4322
1987,331
1987,7878
1988,1418
1988,6791
1993,2672
1993,5537
1994,2236
1994,5973
1999,1718
1999,6491
2001,1065
2001,7144
2003,2093
2003,6116
2005,2561
2005,5648
2007,3098
2007,5111
2010,3567
2010,4642
2012,1406
2012,6803
2014,3290
2014,4919
2015,2934
2015,5275
2016,1808
2016,6401
2018,729
2018,7480
2022,2077
2022,6132
2023,2949
2023,5260
2024,1610
2024,6599
2026,2163
2026,6046
2028,1603
2028,6606
2029,4012
2029,4197
2030,1178
2030,7031
2031,923
2031,7286
2032,0
2036,2551
2036,5658
2038,1531
2038,6678
2040,3704
2040,4505
2042,8
2042,8201
2043,2248
2043,5961
2044,3903
2044,4306
2045,2490
2045,5719
2046,3081
2046,5128
2048,1444
2048,6765
2049,999
2049,7210
2052,3825
2052,4384
2053,4079
2053,4130
2054,2208
2054,6001
2057,2088
2057,6121
2058,2997
2058,5212
2066,2234
2066,5975
2067,2876
2067,5333
2068,1036
2068,7173
2075,1671
2075,6538
2077,3297
2077,4912
2078,1257
2078,6952
2080,651
2080,7558
2086,3653
2086,4556
2088,1979
2088,6230
2089,242
2089,7967
2090,526
2090,7683
2092,332
2092,7877
2093,3618
2093,4591
2094,2271
2094,5938
2095,2275
2095,5934
2096,2445
2096,5764
2098,104
2098,8105
2100,3821
2100,4388
2101,2064
2101,6145
2102,4069
2102,4140
2104,792
2104,7417
2105,1368
2105,6841
2109,533
2109,7676
2111,3056
2111,5153
2112,1219
2112,6990
2113,2748
2113,5461
2115,366
2115,7843
2116,123
2116,8086
2118,1779
2118,6430
2120,344
2120,7865
2121,2675
2121,5534
2124,1768
2124,6441
2125,2485
2125,5724
2126,2953
2126,5256
2128,551
2128,7658
2130,2751
2130,5458
2131,2189
2131,6020
2132,3197
2132,5012
2133,2197
2133,6012
2134,3348
2134,4861
2135,231
2135,7978
2139,2440
2139,5769
2140,2016
2140,6193
2142,2071
2142,6138
2143,3968
2143,4241
2144,2529
2144,5680
2148,1154
2148,7055
2149,673
2149,7536
2150,422
2150,7787
2151,403
2151,7806
2154,2824
2154,5385
2155,361
2155,7848
2157,2771
2157,5438
2165,2510
2165,5699
2166,275
2166,7934
2167,2893
2167,5316
2168,3387
2168,4822
2172,256
2172,7953
2175,765
2175,7444
2178,2308
2178,5901
2180,3165
2180,5044
2181,671
2181,7538
2182,2545
2182,5664
2183,451
2183,7758
2184,2516
2184,5693
2185,1259
2185,6950
2186,3671
2186,4538
2187,3240
2187,4969
2188,4024
2188,4185
2191,3065
2191,5144
2192,808
2192,7401
2195,2311
2195,5898
2197,2796
2197,5413
2198,28
2198,8181
2199,212
2199,7997
2201,385
2201,7824
2202,187
2202,8022
2203,2898
2203,5311
2206,2665
2206,5544
2208,50
2208,8159
2209,773
2209,7436
2210,154
2210,8055
2211,172
2211,8037
2212,3740
2212,4469
2213,919
2213,7290
2216,3147
2216,5062
2219,2743
2219,5466
2225,3190
2225,5019
2226,3511
2226,4698
2231,2102
2231,6107
2232,19
2232,8190
2233,2071
2233,6138
2234,1130
2234,7079
2235,1439
2235,6770
2236,625
2236,7584
2239,2949
2239,5260
2244,3282
2244,4927
2246,1613
2246,6596
2250,2864
2250,5345
2251,3339
2251,4870
2254,1947
2254,6262
2259,3346
2259,4863
2260,2341
2260,5868
2261,7
2261,8202
2262,3551
2262,4658
2263,324
2263,7885
2266,1911
2266,6298
2268,3302
2268,4907
2269,2909
2269,5300
2270,3277
2270,4932
2273,2294
2273,5915
2274,2028
2274,6181
2276,3607
2276,4602
2283,3986
2283,4223
2284,505
2284,7704
2285,2705
2285,5504
2287,4069
2287,4140
2290,236
2290,7973
2293,3352
2293,4857
2294,1447
2294,6762
2295,3140
2295,5069
2296,4096
2296,4113
2297,2582
2297,5627
2304,2429
2304,5780
2305,3928
2305,4281
2307,3023
2307,5186
2308,3999
2308,4210
2310,1759
2310,6450
2313,1156
2313,7053
2317,2947
2317,5262
2318,534
2318,7675
2323,933
2323,7276
2326,758
2326,7451
2327,2167
2327,6042
2328,2136
2328,6073
2329,2723
2329,5486
2332,3357
2332,4852
2335,2906
2335,5303
2336,1935
2336,6274
2339,3954
2339,4255
2340,2672
2340,5537
2342,49
2342,8160
2344,2376
2344,5833
2345,2275
2345,5934
2348,2303
2348,5906
2351,748
2351,7461
2353,1501
2353,6708
2354,381
2354,7828
2355,3199
2355,5010
2356,1525
2356,6684
2357,2833
2357,5376
2360,2534
2360,5675
2361,2120
2361,6089
2362,3602
2362,4607
2365,820
2365,7389
2366,2610
2366,5599
2367,2145
2367,6064
2370,2159
2370,6050
2373,1510
2373,6699
2374,1214
2374,6995
2378,1013
2378,7196
2380,1550
2380,6659
2389,1782
2389,6427
2390,4028
2390,4181
2391,579
2391,7630
2394,1652
2394,6557
2395,3457
2395,4752
2396,88
2396,8121
2398,755
2398,7454
2402,857
2402,7352
2405,350
2405,7859
2406,1204
2406,7005
2407,850
2407,7359
2408,162
2408,8047
2409,34
2409,8175
2412,3440
2412,4769
2419,3117
2419,5092
2422,3059
2422,5150
2423,2619
2423,5590
2424,2030
2424,6179
2426,3102
2426,5107
2427,2607
2427,5602
2430,3120
2430,5089
2435,1409
2435,6800
2436,3644
2436,4565
2441,8
2441,8201
2444,1777
2444,6432
2446,1139
2446,7070
2450,2726
2450,5483
2453,1175
2453,7034
2461,632
2461,7577
2462,2274
2462,5935
2463,3707
2463,4502
2464,3087
2464,5122
2468,2799
2468,5410
2469,3935
2469,4274
2472,2889
2472,5320
2476,536
2476,7673
2478,3316
2478,4893
2481,735
2481,7474
2482,1069
2482,7140
2483,141
2483,8068
2485,3725
2485,4484
2486,840
2486,7369
2493,1035
2493,7174
2494,983
2494,7226
2495,4102
2495,4107
2496,3014
2496,5195
2498,269
2498,7940
2500,318
2500,7891
2501,3911
2501,4298
2502,1332
2502,6877
2503,3882
2503,4327
2504,538
2504,7671
2505,2085
2505,6124
2506,2288
2506,5921
2507,3866
2507,4343
2508,1330
2508,6879
2509,635
2509,7574
2511,2254
2511,5955
2512,1139
2512,7070
2514,3420
2514,4789
2515,532
2515,7677
2517,2298
2517,5911
